cliente_id,data_compra,Produto,Valor_Médio,prob_180d,comprou_180d,prob_360d,comprou_360d
977403,2023-02-15,"84540074, 1920380074",7103.811,0.02419321417288876,1,0.038868287461339614,1
977403,2023-07-12,1920380074,4909.1055,0.15947534529495327,1,0.2704551867891305,1
977403,2023-07-14,82620074,5857.787,0.10546414001848017,1,0.1798342097604554,1
977403,2023-11-08,1920380074,5750.54025,0.06902632765356256,0,0.09456405129734125,0
978003,2023-02-06,1921940354,11350.053,0.04979732395520604,0,0.0663950843876916,0
978303,2023-01-18,405120074,22350.9,0.4745900410787106,1,0.5489223425851005,1
978303,2023-03-27,1921940354,18730.764000000003,0.8014440952052533,1,0.852919780231461,1
978303,2023-05-15,5681980666,69858.75,0.8623546842277189,1,0.8994555500958867,1
978303,2023-08-14,243220158,58097.3445,0.8481632753197141,1,0.8818900972059994,1
978303,2023-10-02,5771541338,46616.8872,0.7742790770693176,1,0.7996972892955468,1
978303,2023-10-30,410001338,39347.113000000005,0.7125163272443906,1,0.7357200989019218,1
978303,2023-11-21,405120354,39716.94257142857,0.6765219299888897,1,0.6883334341673788,1
978303,2023-12-19,1921940354,36543.24375,0.6092745399980294,1,0.5980949018032474,1
978303,2024-01-24,402241338,32518.044,0.8274452623703382,1,0.8838220126521873,1
978303,2024-02-02,402241338,29361.1812,0.8562299451959638,1,0.9027868024525751,1
978303,2024-06-24,402241338,26784.33490909091,0.818381029387274,0,0.8588000195825213,0
978306,2023-01-09,"410001338, 5771200670",70407.675,0.6064360374622408,1,0.6745186434930507,1
978306,2023-01-16,6804660162,81412.812,0.9253202481341096,1,0.9473940392829627,1
978306,2023-01-18,5771200670,181079.97699999998,0.966829440201972,1,0.9760298312981216,1
978306,2023-01-30,1921940354,139383.9915,0.9281505215126932,1,0.9508791808701118,1
978306,2023-01-31,5681980666,156568.0428,0.9423161958710028,1,0.959146490352235,1
978306,2023-02-06,402241338,130571.961,0.9269597393455968,1,0.9475100215798631,1
978306,2023-03-01,"402241338, 405120354",114876.71742857143,0.8943591990446896,1,0.9204458105603897,1
978306,2023-03-06,402241338,100591.07175,0.88938804657072,1,0.9150970079112846,1
978306,2023-03-14,402241338,89484.616,0.8761505198098389,1,0.902994691560785,1
978306,2023-04-17,580881532,84596.1909,0.8906046601030131,1,0.9221433161524122,1
978306,2023-04-24,5771200670,118021.10863636364,0.9386417629156164,1,0.9561487438469921,1
978306,2023-06-05,410001338,108810.65974999999,0.8773064282506738,1,0.9030316999347853,1
978306,2023-06-07,405120354,102057.891,0.8607447444670983,1,0.8870107176403152,1
978306,2023-06-12,5771200670,127073.06207142856,0.906893512484754,1,0.9226022568294391,1
978306,2023-06-26,1920765642,120249.7036,0.8575876812041957,1,0.8816496316837832,1
978306,2023-07-17,"1921940354, 5771200670",156911.083875,0.9439815774548039,1,0.9550349955697797,1
978306,2023-07-19,580881532,150069.27688235295,0.8982954823014272,1,0.9202703534804738,1
978306,2023-07-26,243220158,142365.7928333333,0.9116836223955619,1,0.9318756100177938,1
978306,2023-08-21,"410001338, 1921940354, 5771200670",167315.7904736842,0.9362603495499199,1,0.9458772736977257,1
978306,2023-08-29,243220158,159805.49325,0.8943343933844924,1,0.9112453281176904,1
978306,2023-09-12,1920765642,154607.64985714285,0.8580182885839194,1,0.8723381281714876,1
978306,2023-10-06,5771200670,168137.76968181817,0.8868352226464448,1,0.8895874741512537,1
978306,2023-10-13,580841532,161096.02317391304,0.8229231895730149,1,0.8289530665479459,1
978306,2023-11-10,1920765642,155426.65125,0.7839638441557512,1,0.7764365257428397,1
978306,2023-12-05,405120354,150050.47824,0.7651214125754557,1,0.7459504817841656,1
978306,2023-12-19,402241338,144303.651,0.7400459480308762,1,0.712380844244544,1
978306,2024-01-09,580881532,140462.78855555554,0.8893661239718142,1,0.920442561190338,1
978306,2024-01-15,5771200670,139484.38864285714,0.9243789807825775,1,0.9474130320000833,1
